Baia Mare,47.655888815548636,23.59704604739251,
Cluj-Napoca,46.73827548109342,23.616392027403215,
Brasov,45.60217414955173,25.607324363793346,
Constanta,44.17520422972359,28.584965101502927,
Targu Jiu,44.99023209091384,23.236888796126504,
Craiova,44.29651529525359,23.826578432418014,
Bucuresti,44.41340590709818,26.17949846633362,
Bacau,46.505699472322064,26.93266641763663,
Oradea,47.01365979019804,21.91154674228322,
Timisoara,45.769402387935486,21.199248369733084,
Iasi,47.15280735727293,27.569064143931424,
Suceava,47.66646087105343,26.28459166884102,
Satu Mare,47.803896628767816,22.863224076100206,
Deva,45.87519055111925,22.909932166103495,
Drobeta-Turnu Severin,44.68229796808878,22.687604290086583,
Arad,46.181743880998,21.286361589987955,
Galati,45.44519423803236,28.018165061711773,
Zalau,47.2706128685942,23.06474856399852,
Vaslui,46.72083305478659,27.668524791712937,
Sibiu,45.83056861036087,24.10350673812181
